feature,importance
lag_1h_demand,0.8475803633224244
rolling_3h_mean_demand,0.07853257236211285
hour_0,0.019759447923059288
PULocationID_132,0.00670719419376057
hour_3,0.00437237748969872
lag_24h_demand,0.002979268888863099
PULocationID_79,0.002544015294492329
is_peak_hour,0.0024031257147705525
day_of_week_4,0.0020098030598017023
hour_5,0.0018394000942027308
hour_14,0.0018180850947127304
day_of_week_3,0.001790401578323809
day_of_month,0.0017662903832610054
hour_4,0.001581362998350431
hour_12,0.001502023115581928
hour_15,0.001487229079072398
hour_2,0.0014324979116643434
hour_11,0.0013576236330859776
PULocationID_161,0.00122489339223697
hour_9,0.0012069402267788118
hour_10,0.0012025083688341803
hour_1,0.0010727905710233613
hour_13,0.001004503852471532
PULocationID_138,0.0009737014084173204
hour_23,0.0009413865304488219
PULocationID_236,0.0006988707088204784
PULocationID_43,0.0006509288606116097
PULocationID_142,0.0005682977768326444
PULocationID_230,0.000522781241198092
hour_21,0.0005033685932997511
hour_22,0.0004988389075137908
hour_17,0.00045855524758111823
PULocationID_186,0.00045421083867256193
hour_16,0.00041418420634425283
hour_7,0.00036703070916009107
PULocationID_48,0.0003656437028448237
hour_19,0.00035103026005208854
hour_8,0.0003325679869802492
hour_20,0.0002924504185269309
hour_18,0.00028798549635284076
PULocationID_234,0.00028385472986274934
PULocationID_239,0.00027642240884558593
PULocationID_170,0.0002515719151043289
PULocationID_162,0.0002364643996993068
PULocationID_237,0.00020212635148374674
PULocationID_148,0.00019874515327068614
PULocationID_90,0.00018252435400051715
PULocationID_249,0.00018122605736304868
PULocationID_107,0.00017771844975738901
PULocationID_68,0.00015801633605267223
PULocationID_100,0.00015518881648851873
PULocationID_263,0.0001370611875201776
PULocationID_163,0.00013495834932288585
hour_6,0.00012641076910018532
PULocationID_141,0.00012113109090085812
PULocationID_246,0.00011086487291915616
PULocationID_164,0.00010974864223930841
PULocationID_114,8.765760258487079e-05
PULocationID_137,7.699476136351144e-05
PULocationID_229,7.405479604659146e-05
PULocationID_188,7.093696964801256e-05
PULocationID_262,6.535564193864654e-05
PULocationID_140,6.16567845739118e-05
PULocationID_144,5.275302820932803e-05
PULocationID_211,4.4257377344656986e-05
PULocationID_70,4.08330920245211e-05
PULocationID_143,3.917508446588033e-05
PULocationID_261,3.4709295650924704e-05
PULocationID_238,3.4392329207578324e-05
PULocationID_231,3.081242676423265e-05
PULocationID_113,3.059891864742322e-05
PULocationID_256,2.9187457381508952e-05
PULocationID_75,2.7169476719180777e-05
PULocationID_125,2.3906308546764884e-05
PULocationID_151,2.3241484007608823e-05
PULocationID_233,2.1546130789133857e-05
PULocationID_158,1.8450018827814214e-05
